Institution Name	Institution Symbol	Institution State	Library Type	Requests To Lender	Requests To Lender From WorldCat	Requests Canceled	Requests Filled	Requests Filled (Loan)	Requests Filled (Copy)	Requests Unfilled	Direct Request: Unmediated	Direct Request: Mediated	Average Turnaround Time For Filled Requests (dd:hh:mm)	Average Turnaround Time For Loan Filled Requests (dd:hh:mm)	Average Turnaround Time For Copy Filled Requests (dd:hh:mm)
UNIV OF ARKANSAS MULLINS	AFU	AR	Academic	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
UNIV OF CENTRAL MISSOURI LIBR	MCW	MO	Academic	4	4	0	1	1	0	3	0	0	5:00:00	5:00:00	0:00:00
UNIV OF COLORADO AT COLORADO SPRINGS	COX	CO	Academic	3	3	0	2	2	0	1	0	0	0:12:00	0:12:00	0:00:00
"UNIV OF COLORADO AT DENVER, AURARIA LIBR"	COA	CO	Academic	4	4	0	1	1	0	3	0	0	3:00:00	3:00:00	0:00:00
UNIV OF DALLAS	IVD	TX	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
UNIV OF DELAWARE	DLM	DE	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
"UNIV OF DIST OF COLUMBIA, VAN NESS"	DDU	DC	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
UNIV OF HOUSTON	TXH	TX	Academic	5	5	0	3	3	0	2	0	0	1:16:05	1:16:05	0:00:00
"UNIV OF HOUSTON, VICTORIA"	TXV	TX	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
UNIV OF IDAHO LIBR	NTD	ID	Academic	5	5	0	2	2	0	3	0	0	0:12:00	0:12:00	0:00:00
UNIV OF LOUISVILLE	KLG	KY	Academic	2	2	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
"UNIV OF LOUISVILLE, SCH OF MUSIC LIBR"	KLM	KY	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
"UNIV OF MONTANA, MANSFIELD LIBR"	MTG	MT	Academic	6	6	0	6	6	0	0	0	0	1:00:00	1:00:00	0:00:00
UNIV OF MONTEVALLO	AMN	AL	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
UNIV OF N ALABAMA	ANO	AL	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
UNIV OF N CAROLINA GREENSBORO	NGU	NC	Academic	3	3	0	1	1	0	2	0	0	2:00:00	2:00:00	0:00:00
UNIV OF N CAROLINA SCH OF THE ARTS	NZG	NC	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
"UNIV OF N CAROLINA, WILMINGTON"	NXW	NC	Academic	2	2	0	1	1	0	2	0	0	1:00:00	1:00:00	0:00:00
UNIV OF NEVADA RENO	NNY	NV	Academic	2	2	0	1	1	0	1	0	0	1:00:00	1:00:00	0:00:00
UNIV OF NEW MEXICO VALENCIA CAM LIBR	VL#	NM	Academic	2	2	0	2	2	0	0	0	0	1:00:00	1:00:00	0:00:00
UNIV OF NORTHERN COLORADO	COV	CO	Academic	1	1	0	1	0	1	0	0	0	0:00:00	0:00:00	0:00:00
UNIV OF OKLAHOMA	OKU	OK	Major Academic Research	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
UNIV OF PITTSBURGH	PIT	PA	Major Academic Research	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
UNIV OF PORTLAND	OUP	OR	Academic	4	4	0	3	3	0	1	0	0	0:07:55	0:07:55	0:00:00
UNIV OF PUGET SOUND LIBR	UPP	WA	Academic	20	20	1	17	14	3	2	0	0	0:05:46	0:01:41	1:00:00
UNIV OF SAINT FRANCIS	FW8	IN	Academic	2	2	0	2	2	0	0	0	0	0:00:00	0:00:00	0:00:00
"UNIV OF SAN DIEGO, J S COPLEY LIBR"	CDU	CA	Academic	1	1	0	1	1	0	0	0	0	8:00:00	8:00:00	0:00:00
UNIV OF SOUTHERN MISSISSIPPI	MUS	MS	Academic	5	5	0	0	0	0	5	0	0	0:00:00	0:00:00	0:00:00
UNIV OF ST THOMAS	MNT	MN	Academic	2	2	0	2	2	0	1	0	0	1:12:00	1:12:00	0:00:00
UNIV OF TEXAS AT ARLINGTON	IUA	TX	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
UNIV OF TEXAS AT DALLAS	ITD	TX	Academic	6	6	0	1	1	0	5	0	0	1:00:00	1:00:00	0:00:00
UNIV OF TEXAS AT EL PASO LIBR	TXU	TX	Academic	5	5	0	3	3	0	2	0	0	0:16:05	0:16:05	0:00:00
UNIV OF TEXAS AT PERMIAN BASIN	TXO	TX	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
UNIV OF TEXAS AT SAN ANTONIO	TXJ	TX	Academic	3	3	0	2	2	0	1	0	0	1:00:00	1:00:00	0:00:00
UNIV OF TEXAS AT TYLER	TEX	TX	Academic	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
UNIV OF TEXAS RIO GRANDE VAL THE	TPN	TX	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
UNIV OF THE SOUTH	TWU	TN	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
UNIV OF TOLEDO	TOL	OH	Academic	2	2	0	2	2	0	0	0	0	2:12:00	2:12:00	0:00:00
UNIV OF TULSA	OKT	OK	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
UNIV OF VIRGINIA	VA@	VA	Academic	2	2	0	2	1	1	1	0	0	6:12:00	9:00:00	4:00:00
"UNIV OF WASHINGTON, GALLAGHER LAW LIBR"	ONA	WA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
UNIV OF WESTERN STATES	OOJ	OR	Academic	4	4	0	1	1	0	3	0	0	0:00:00	0:00:00	0:00:00
"UNIV OF WISCONSIN, MILWAUKEE"	GZN	WI	Academic	1	1	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
"UNIV OF WISCONSIN, STOUT"	GZS	WI	Academic	1	1	0	1	1	0	0	0	0	4:00:00	4:00:00	0:00:00
UNIV OF WYOMING LIBR	WYU	WY	Academic	5	5	0	4	4	0	1	0	0	0:18:00	0:18:00	0:00:00
"URBANA FREE LIBR, THE"	MR0	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
URBANDALE PUB LIBR	JIU	IA	Public	2	2	0	1	1	0	1	0	0	2:00:00	2:00:00	0:00:00
US AIR FORCE EDWARDS AFB TECH RES LIBR	CED	CA	Federal/Natl Government	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
